index|station_id|station_name|date|average_wind_speed|precipitation|snowfall|snow_depth|temperature_avg|temperature_max|temperature_min
144|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-24|4.7|0.05|0.0|0.0|65|77|58
145|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-25|8.05|0.0|0.0|0.0|74|91|57
146|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-26|6.93|0.0|0.0|0.0|80|93|64
147|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-27|7.38|0.0|0.0|0.0|79|89|70
148|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-28|10.51|0.0|0.0|0.0|82|96|71
149|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-29|8.28|0.03|0.0|0.0|80|88|69
150|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-30|6.49|1.57|0.0|0.0|75|83|69
151|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-05-31|6.04|0.0|0.0|0.0|77|85|71
152|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-01|7.16|0.0|0.0|0.0|76|84|67
153|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-02|6.71|0.0|0.0|0.0|68|72|63
154|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-03|4.25|0.03|0.0|0.0|65|70|63
155|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-04|5.59|0.01|0.0|0.0|72|85|65
156|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-05|6.93|0.94|0.0|0.0|69|74|66
157|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-06|11.63|0.0|0.0|0.0|74|86|66
158|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-07|11.41|0.14|0.0|0.0|77|87|64
159|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-08|12.53|0.51|0.0|0.0|63|69|54
160|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-09|15.21|0.0|0.0|0.0|63|75|53
161|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-10|11.63|0.0|0.0|0.0|67|80|56
162|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-11|10.07|0.0|0.0|0.0|72|91|55
163|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-12|19.91|0.0|0.0|0.0|82|88|63
164|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-13|15.43|0.0|0.0|0.0|67|76|57
165|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-14|10.51|0.0|0.0|0.0|69|82|59
166|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-15|6.93|0.0|0.0|0.0|75|87|59
167|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-16|4.47|0.0|0.0|0.0|73|77|67
168|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-17|7.83|0.0|0.0|0.0|71|79|63
169|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-18|5.59|0.0|0.0|0.0|72|86|58
170|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-19|6.71|0.0|0.0|0.0|75|88|63
171|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-20|6.49|0.0|0.0|0.0|74|85|65
172|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-21|10.74|0.0|0.0|0.0|82|91|73
173|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-22|8.28|0.0|0.0|0.0|79|90|67
174|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-23|4.47|0.0|0.0|0.0|76|83|69
175|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-24|8.28|0.0|0.0|0.0|75|83|68
176|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-25|7.38|0.0|0.0|0.0|73|82|64
177|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-26|7.38|0.0|0.0|0.0|75|86|65
178|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-27|9.17|0.37|0.0|0.0|75|87|64
179|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-28|5.82|0.39|0.0|0.0|73|78|69
180|USW00014734|NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US|2016-06-29|8.28|0.01|0.0|0.0|75|87|68
